27,-1,-1,-1,-1,-1,-1,135,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,27,-1,-1,-1,-1,135,-1,6,7,8,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,135,-1,22,23,24,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,135,-1,-1,-1,-1,-1,27,-1,-1
-1,-1,-1,-1,-1,-1,-1,135,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,151,152,152,152,152,152,152,152,152
-1,-1,-1,6,7,8,-1,135,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,22,23,24,-1,135,-1,-1,-1,-1,-1,-1,27,-1
-1,27,-1,-1,-1,-1,-1,135,-1,27,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,135,-1,-1,-1,-1,-1,-1,-1,-1
152,152,152,152,152,152,152,151,-1,-1,6,7,8,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,23,24,-1,-1,-1
-1,-1,-1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
